# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W1     RSR     uncertainty (parts per thousand)
25300  0.57183E-05   707
25400  0.37863E-06  1000
25500  0.20780E-06  1000
25600  0.22743E-06  1000
25700  0.75882E-05   707
25800  0.53493E-05   707
25900  0.34988E-05   707
26000  0.23718E-05  1000
26100  0.35787E-03   533
26200  0.11801E-02   632
26300  0.92944E-03   534
26400  0.75095E-03   534
26500  0.81940E-03   534
26600  0.88183E-03   533
26700  0.10517E-02   534
26800  0.33867E-03   707
26900  0.51705E-03   707
27000  0.81846E-03   707
27100  0.87291E-02   107
27200  0.77299E-02    83
27300  0.46045E-02    64
27400  0.34356E-02   119
27500  0.73993E-02    64
27600  0.13747E-01    59
27700  0.23550E-01    90
27800  0.45209E-01   108
27900  0.88875E-01   102
28000  0.15556E+00    82
28100  0.23009E+00    59
28200  0.28369E+00    38
28300  0.30687E+00    27
28400  0.30425E+00    23
28500  0.29415E+00    20
28600  0.28210E+00    19
28700  0.26809E+00    19
28800  0.25501E+00    18
28900  0.25401E+00    17
29000  0.26625E+00    20
29100  0.28903E+00    23
29200  0.31501E+00    24
29300  0.33782E+00    21
29400  0.35702E+00    19
29500  0.37356E+00    18
29600  0.38865E+00    17
29700  0.40548E+00    16
29800  0.42145E+00    16
29900  0.43263E+00    15
30000  0.43701E+00    14
30100  0.44142E+00    13
30200  0.44584E+00    12
30300  0.44534E+00    10
30400  0.43787E+00     9
30500  0.42836E+00     9
30600  0.41477E+00     9
30700  0.40008E+00     9
30800  0.38227E+00    10
30900  0.36736E+00    11
31000  0.35944E+00    10
31100  0.36771E+00     9
31200  0.39539E+00    11
31300  0.43755E+00    14
31400  0.47689E+00    12
31500  0.50722E+00    10
31600  0.52844E+00     9
31700  0.54461E+00    10
31800  0.55879E+00    10
31900  0.57201E+00     9
32000  0.58320E+00     9
32100  0.59027E+00     9
32200  0.59737E+00     9
32300  0.60239E+00     8
32400  0.60637E+00     6
32500  0.60293E+00     6
32600  0.59840E+00     8
32700  0.59596E+00     9
32800  0.59993E+00     8
32900  0.61787E+00     6
33000  0.65317E+00     7
33100  0.69947E+00     9
33200  0.74821E+00    10
33300  0.79179E+00    11
33400  0.82254E+00    12
33500  0.84021E+00    13
33600  0.84052E+00    13
33700  0.82651E+00    14
