# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W3     RSR     uncertainty (parts per thousand)
 25300  0.32831E-15   342
 25400  0.10744E-14   343
 25500  0.17799E-13   344
 25600  0.17906E-14   342
 25700  0.97118E-15   343
 25800  0.72814E-14   342
 25900  0.10065E-17   343
 26000  0.29278E-14   341
 26100  0.45167E-14   340
 26200  0.12278E-13   340
 26300  0.62316E-14   339
 26400  0.15514E-14   339
 26500  0.27638E-14   340
 26600  0.17165E-15   339
 26700  0.69638E-14   337
 26800  0.54278E-14   337
 26900  0.74235E-14   337
 27000  0.42715E-14   336
 27100  0.21035E-14   336
 27200  0.34696E-14   336
 27300  0.39301E-13   336
 27400  0.79134E-14   335
 27500  0.60450E-14   334
 27600  0.91664E-13   334
 27700  0.55325E-14   334
 27800  0.72095E-14   333
 27900  0.28689E-15   333
 28000  0.15496E-15   333
 28100  0.28659E-16   332
 28200  0.84463E-15   332
 28300  0.10755E-14   331
 28400  0.97267E-14   331
 28500  0.39020E-14   330
 28600  0.14669E-14   330
 28700  0.13024E-14   329
 28800  0.13321E-14   329
 28900  0.14504E-13   328
 29000  0.15853E-13   329
 29100  0.70675E-13   327
 29200  0.47575E-15   327
 29300  0.13605E-13   327
 29400  0.10776E-13   326
 29500  0.10060E-13   325
 29600  0.18121E-14   326
 29700  0.10495E-14   325
 29800  0.15108E-15   324
 29900  0.77197E-13   342
 30000  0.19087E-12   341
 30100  0.87626E-15   322
 30200  0.17444E-13   322
 30300  0.84666E-14   322
 30400  0.10577E-14   321
 30500  0.15006E-13   321
 30600  0.19761E-15   320
 30700  0.65968E-14   320
 30800  0.84541E-12   337
 30900  0.84205E-12   337
 31000  0.52065E-14   319
 31100  0.21707E-13   318
 31200  0.12956E-13   318
 31300  0.33963E-15   317
 31400  0.52013E-14   317
 31500  0.22033E-14   317
 31600  0.33816E-14   316
 31700  0.21970E-13   316
 31800  0.41968E-13   316
 31900  0.50209E-14   315
 32000  0.12814E-13   315
 32100  0.23177E-14   315
 32200  0.19946E-13   313
 32300  0.40053E-13   313
 32400  0.64232E-14   312
 32500  0.37898E-14   312
 32600  0.13956E-13   312
 32700  0.60304E-13   312
 32800  0.12854E-13   311
 32900  0.23657E-13   311
 33000  0.13410E-13   309
 33100  0.37960E-13   309
 33200  0.12054E-12   309
 33300  0.11153E-12   309
 33400  0.15135E-13   309
 33500  0.32506E-13   308
 33600  0.40072E-14   308
 33700  0.10288E-12   306
 33800  0.17993E-13   306
 33900  0.92771E-14   307
 34000  0.23530E-13   306
 34100  0.22038E-13   306
 34200  0.10699E-13   306
 34300  0.20891E-16   305
 34400  0.11102E-13   305
 34500  0.20723E-13   304
 34600  0.62270E-14   304
 34700  0.85476E-14   302
 34800  0.14566E-12   302
 34900  0.88669E-14   302
 35000  0.75207E-13   301
 35100  0.10276E-12   300
 35200  0.24227E-13   301
 35300  0.27045E-12   302
 35400  0.14823E-13   301
 35500  0.90778E-13   299
 35600  0.36748E-12   313
 35700  0.33982E-14   298
 35800  0.30199E-13   298
 35900  0.20293E-14   297
 36000  0.46876E-13   298
 36100  0.11359E-13   297
 36200  0.51041E-13   296
 36300  0.89776E-12   309
 36400  0.22440E-13   294
 36500  0.15734E-11   307
 36600  0.80393E-12   309
 36700  0.12201E-11   306
 36800  0.24686E-11   306
 36900  0.83239E-12   306
 37000  0.16260E-14   293
 37100  0.10727E-13   292
 37200  0.55593E-14   291
 37300  0.45013E-13   290
 37400  0.71743E-12   303
 37500  0.17752E-13   290
 37600  0.95963E-14   290
 37700  0.47041E-13   289
 37800  0.54560E-12   301
 37900  0.47341E-13   288
 38000  0.17163E-12   287
