# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W4     RSR     uncertainty (parts per thousand)
 47600  0.23433E-11   268
 47700  0.34305E-13   260
 47800  0.51484E-13   258
 47900  0.62692E-13   258
 48000  0.54308E-13   258
 48100  0.38765E-13   258
 48200  0.12866E-12   258
 48300  0.39212E-12   266
 48400  0.16666E-13   257
 48500  0.29608E-11   266
 48600  0.26574E-11   266
 48700  0.24907E-11   265
 48800  0.38045E-11   265
 48900  0.29213E-12   255
 49000  0.50113E-13   255
 49100  0.80289E-13   254
 49200  0.74867E-13   255
 49300  0.34980E-12   254
 49400  0.21403E-12   253
 49500  0.58202E-11   261
 49600  0.57926E-12   253
 49700  0.15612E-10   261
 49800  0.94929E-11   260
 49900  0.52984E-11   261
 50000  0.10497E-10   259
 50100  0.33784E-08    76
 50200  0.24157E-08    73
 50300  0.42998E-08    71
 50400  0.42165E-08    71
 50500  0.65686E-08    71
 50600  0.81481E-08    71
 50700  0.76187E-08    71
 50800  0.95332E-08    72
 50900  0.10131E-07    72
 51000  0.14074E-07    72
 51100  0.14643E-07    71
 51200  0.14823E-07    71
 51300  0.16314E-07    71
 51400  0.12984E-07    71
 51500  0.16450E-07    71
 51600  0.15670E-07    71
 51700  0.11506E-07    70
 51800  0.11326E-07    70
 51900  0.15317E-07    70
 52000  0.14391E-07    70
 52100  0.14394E-07    70
 52200  0.97471E-08    70
 52300  0.12136E-07    70
 52400  0.88297E-08    70
 52500  0.83805E-08    69
 52600  0.85276E-08    69
 52700  0.74391E-08    70
 52800  0.79252E-08    70
 52900  0.44059E-08    70
 53000  0.44836E-08    70
 53100  0.21799E-08    70
 53200  0.30547E-08    70
 53300  0.43687E-08    69
 53400  0.58364E-08    69
 53500  0.71579E-08    69
 53600  0.59826E-08    69
 53700  0.10052E-07    69
 53800  0.89148E-08    69
 53900  0.10795E-07    69
 54000  0.14927E-07    70
 54100  0.16741E-07    69
 54200  0.18215E-07    69
 54300  0.18951E-07    69
 54400  0.23366E-07    70
 54500  0.23222E-07    70
 54600  0.26377E-07    70
 54700  0.31025E-07    70
 54800  0.33472E-07    70
 54900  0.33233E-07    70
 55000  0.34382E-07    71
 55100  0.33964E-07    70
 55200  0.35349E-07    71
 55300  0.35973E-07    71
 55400  0.36228E-07    71
 55500  0.35628E-07    71
 55600  0.34203E-07    71
 55700  0.33978E-07    71
 55800  0.32735E-07    72
 55900  0.30992E-07    72
 56000  0.27794E-07    73
 56100  0.24611E-07    74
 56200  0.21242E-07    75
 56300  0.18351E-07    77
 56400  0.17321E-07    79
 56500  0.18777E-07    78
 56600  0.19621E-07    78
 56700  0.20442E-07    77
 56800  0.20938E-07    76
 56900  0.28941E-07    75
 57000  0.41642E-07    74
 57100  0.54164E-07    74
 57200  0.67755E-07    73
 57300  0.84516E-07    72
 57400  0.99494E-07    71
 57500  0.12617E-06    72
 57600  0.14299E-06    71
 57700  0.16894E-06    71
 57800  0.19065E-06    71
 57900  0.20270E-06    71
 58000  0.22121E-06    71
 58100  0.24819E-06    71
 58200  0.26775E-06    71
 58300  0.28319E-06    71
 58400  0.28558E-06    71
 58500  0.30056E-06    71
 58600  0.30016E-06    71
 58700  0.29802E-06    71
 58800  0.30503E-06    71
 58900  0.32765E-06    71
 59000  0.31489E-06    71
 59100  0.30327E-06    72
 59200  0.28848E-06    72
 59300  0.28139E-06    72
 59400  0.26975E-06    72
 59500  0.26159E-06    72
 59600  0.24690E-06    72
 59700  0.22676E-06    72
 59800  0.20740E-06    72
 59900  0.18937E-06    72
 60000  0.18034E-06    71
 60100  0.16361E-06    72
 60200  0.14700E-06    71
 60300  0.13110E-06    71
 60400  0.11335E-06    71
 60500  0.97047E-07    71
 60600  0.78964E-07    71
 60700  0.70596E-07    71
 60800  0.60903E-07    71
 60900  0.49897E-07    72
 61000  0.40669E-07    72
 61100  0.31744E-07    72
 61200  0.30108E-07    72
 61300  0.33671E-07    73
 61400  0.39473E-07    74
