# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W2     RSR     uncertainty (parts per thousand)
25300  0.27575E-08   707
25400  0.10551E-05   534
25500  0.14220E-06   534
25600  0.29408E-06   534
25700  0.43892E-06   535
25800  0.33766E-06   535
25900  0.11802E-05   634
26000  0.22091E-06   534
26100  0.86197E-07   534
26200  0.91917E-07   534
26300  0.72725E-07   534
26400  0.10461E-10   707
26500  0.58590E-11   707
26600  0.31765E-07   534
26700  0.57621E-07   533
26800  0.69911E-07   534
26900  0.33384E-07   535
27000  0.87087E-07   534
27100  0.62967E-07   535
27200  0.20266E-06   633
27300  0.55547E-07   535
27400  0.49308E-07   535
27500  0.34301E-07   534
27600  0.26115E-07   534
27700  0.47909E-07   632
27800  0.24843E-07   535
27900  0.60514E-07   633
28000  0.29997E-07   533
28100  0.31028E-07   534
28200  0.30026E-07   534
28300  0.31329E-07   535
28400  0.36219E-07   535
28500  0.36355E-07   533
28600  0.86691E-07   633
28700  0.30313E-07   534
28800  0.26115E-07   534
28900  0.15629E-07   535
29000  0.26255E-07   534
29100  0.14241E-07   534
29200  0.14949E-07   535
29300  0.14172E-07   534
29400  0.57737E-07   633
29500  0.55186E-08   534
29600  0.38223E-07   630
29700  0.48042E-08   534
29800  0.23932E-08   534
29900  0.15017E-08   535
30000  0.81430E-09   534
30100  0.18893E-16  1000
30200  0.92490E-09   534
30300  0.14049E-08   534
30400  0.10943E-08   534
30500  0.15301E-08   534
30600  0.94153E-09   534
30700  0.10621E-08   534
30800  0.10014E-07   632
30900  0.34225E-09   534
31000  0.91841E-08   632
31100  0.75806E-09   534
31200  0.93146E-10   534
31300  0.55396E-14   707
31400  0.62920E-17  1000
31500  0.11834E-13   707
31600  0.15546E-13   707
31700  0.41596E-09   534
31800  0.29226E-13   707
31900  0.53232E-16  1000
32000  0.14554E-13   707
32100  0.29383E-08   534
32200  0.37634E-08   533
32300  0.54472E-08   534
32400  0.19392E-07   632
32500  0.56954E-08   534
32600  0.62708E-08   534
32700  0.51157E-08   534
32800  0.46797E-08   534
32900  0.56141E-08   533
33000  0.23984E-08   534
33100  0.11991E-12   707
33200  0.13544E-12   707
33300  0.28921E-12   707
33400  0.44666E-12   707
33500  0.45326E-12   707
33600  0.60897E-12   707
33700  0.53627E-12   707
33800  0.91774E-12   707
33900  0.67368E-12   707
34000  0.98980E-12   707
34100  0.84044E-12   707
