# Luminosity, Inversion, and Lifetime of OH (rh=1 au)
# Table 5 of Schleicher & A'Hearn 1988, The Fluorescence of Cometary
# OH, ApJ 331, 1058-1077
#
# columns:
#    heliocentric radial velocity
#    fluorescence efficiencies (L/N)
#    inversion (n_u - n_l) / (n_u + n_l)
#    lifetime via A^2 Σ^+(ν=2,3)
#
# units: km/s, erg/s/molecule, unitless, s
#
# fluorescence efficiencies for other bands can be calculated from the
# ratios:
#     0-1/0-0 = 0.00356
#     0-2/0-0 = 0.00021
#     1-2/1-1 = 0.00610
#     2-0/2-2 = 0.274
#     2-1/2-2 = 1.921
#
rdot     0-0       1-0       1-1       2-2       I      tau
 +5.  2.56e-15  2.09e-16  3.29e-16  1.27e-18  +0.001  3.01e5
 +6.  2.68e-15  2.11e-16  3.33e-16  1.18e-18  +0.008  3.20e5
 +7.  2.71e-15  2.14e-16  3.38e-16  1.09e-18  +0.000  3.44e5
 +8.  2.72e-15  2.18e-16  3.43e-16  1.05e-18  -0.039  3.56e5
 +9.  2.84e-15  2.23e-16  3.51e-16  1.06e-18  -0.108  3.51e5
+10.  3.18e-15  2.31e-16  3.63e-16  1.10e-18  -0.177  3.41e5
+11.  3.74e-15  2.39e-16  3.76e-16  1.17e-18  -0.221  3.25e5
+12.  4.47e-15  2.45e-16  3.86e-16  1.24e-18  -0.228  3.09e5
+13.  5.19e-15  2.46e-16  3.87e-16  1.28e-18  -0.207  3.00e5
+14.  5.74e-15  2.41e-16  3.79e-16  1.30e-18  -0.160  2.97e5
+15.  5.93e-15  2.33e-16  3.67e-16  1.29e-18  -0.087  2.99e5
+16.  5.70e-15  2.25e-16  3.55e-16  1.28e-18  -0.004  3.03e5
+17.  5.24e-15  2.20e-16  3.46e-16  1.27e-18  +0.057  3.04e5
+18.  4.91e-15  2.17e-16  3.42e-16  1.29e-18  +0.076  2.99e5
+19.  4.92e-15  2.18e-16  3.43e-16  1.32e-18  +0.063  2.91e5
+20.  5.26e-15  2.18e-16  3.44e-16  1.36e-18  +0.045  2.85e5
+21.  5.78e-15  2.14e-16  3.37e-16  1.38e-18  +0.037  2.80e5
+22.  6.34e-15  2.01e-16  3.16e-16  1.42e-18  +0.028  2.74e5
+23.  6.85e-15  1.81e-16  2.85e-16  1.48e-18  +0.002  2.63e5
+24.  7.16e-15  1.60e-16  2.51e-16  1.57e-18  -0.044  2.49e5
+25.  7.25e-15  1.44e-16  2.26e-16  1.65e-18  -0.102  2.38e5
+26.  7.18e-15  1.38e-16  2.17e-16  1.71e-18  -0.153  2.31e5
+27.  7.04e-15  1.45e-16  2.28e-16  1.74e-18  -0.187  2.28e5
+28.  6.84e-15  1.61e-16  2.54e-16  1.76e-18  -0.204  2.28e5
+29.  6.48e-15  1.82e-16  2.86e-16  1.76e-18  -0.220  2.29e5
+30.  5.89e-15  2.02e-16  3.18e-16  1.77e-18  -0.243  2.29e5
+31.  5.22e-15  2.16e-16  3.41e-16  1.76e-18  -0.254  2.30e5
+32.  4.67e-15  2.24e-16  3.53e-16  1.74e-18  -0.228  2.32e5
+33.  4.24e-15  2.27e-16  3.57e-16  1.72e-18  -0.158  2.33e5
+34.  3.80e-15  2.26e-16  3.55e-16  1.71e-18  -0.077  2.33e5
+35.  3.33e-15  2.19e-16  3.45e-16  1.72e-18  -0.006  2.30e5
+36.  2.91e-15  2.06e-16  3.24e-16  1.75e-18  +0.054  2.26e5
+37.  2.59e-15  1.85e-16  2.92e-16  1.78e-18  +0.127  2.22e5
+38.  2.30e-15  1.60e-16  2.51e-16  1.79e-18  +0.226  2.20e5
+39.  2.03e-15  1.32e-16  2.08e-16  1.78e-18  +0.331  2.21e5
+40.  1.82e-15  1.08e-16  1.69e-16  1.75e-18  +0.417  2.25e5
+41.  1.79e-15  0.93e-16  1.46e-16  1.70e-18  +0.449  2.32e5
+42.  2.10e-15  0.89e-16  1.41e-16  1.64e-18  +0.403  2.42e5
+43.  2.84e-15  0.97e-16  1.52e-16  1.59e-18  +0.286  2.50e5
+44.  3.93e-15  1.09e-16  1.71e-16  1.56e-18  +0.152  2.55e5
+45.  5.14e-15  1.20e-16  1.89e-16  1.55e-18  +0.045  2.58e5
+46.  6.16e-15  1.27e-16  2.00e-16  1.55e-18  -0.024  2.56e5
+47.  6.84e-15  1.28e-16  2.02e-16  1.57e-18  -0.057  2.52e5
+48.  7.21e-15  1.26e-16  1.99e-16  1.61e-18  -0.054  2.45e5
+49.  7.43e-15  1.24e-16  1.95e-16  1.65e-18  -0.029  2.39e5
+50.  7.64e-15  1.25e-16  1.96e-16  1.68e-18  -0.006  2.34e5
+51.  7.90e-15  1.33e-16  2.10e-16  1.71e-18  +0.000  2.30e5
+52.  8.13e-15  1.47e-16  2.31e-16  1.71e-18  -0.009  2.30e5
+53.  8.26e-15  1.62e-16  2.55e-16  1.68e-18  -0.025  2.34e5
+54.  8.22e-15  1.75e-16  2.76e-16  1.63e-18  -0.040  2.40e5
+55.  7.99e-15  1.83e-16  2.87e-16  1.56e-18  -0.044  2.50e5
+56.  7.62e-15  1.83e-16  2.87e-16  1.50e-18  -0.026  2.59e5
+57.  7.10e-15  1.75e-16  2.76e-16  1.44e-18  +0.015  2.68e5
+58.  6.47e-15  1.63e-16  2.56e-16  1.40e-18  +0.063  2.75e5
+59.  5.87e-15  1.51e-16  2.37e-16  1.36e-18  +0.082  2.80e5
+60.  5.45e-15  1.45e-16  2.29e-16  1.33e-18  +0.041  2.85e5
