# %ECSV 0.9
# ---
# datatype:
# - {name: name, datatype: string}
# - {name: lambda pivot, unit: um, datatype: float64}
# - {name: lambda eff, unit: um, datatype: float64}
# - {name: fluxd, unit: erg / (Angstrom cm2 s), datatype: float64}
# delimiter: ','
# meta: !!omap
# - comments: [Flux density of Vega, 'Table 4 of Willmer (2018, ApJS 236, 47)']
# schema: astropy-2.0
name,lambda pivot,lambda eff,fluxd
Johnson U,0.3611,0.3694,4.29723e-09
Johnson B,0.4396,0.439,6.33795e-09
Johnson V,0.5511,0.5476,3.62701e-09
Cousins R,0.6582,0.6492,2.13191e-09
Cousins I,0.8034,0.7993,1.15139e-09
Tycho Bt,0.4212,0.4234,6.70971e-09
Tycho Vt,0.5335,0.5291,3.94906e-09
Hipparcos Hp,0.5508,0.5315,3.59516e-09
2MASS J,1.2393,1.2321,3.17931e-10
2MASS H,1.6495,1.6424,1.16041e-10
2MASS Ks,2.1638,2.1558,4.37335e-11
SDSS u,0.3556,0.3607,3.756e-09
SDSS g,0.4702,0.4673,5.52461e-09
SDSS r,0.6176,0.6142,2.55856e-09
SDSS i,0.749,0.7459,1.42903e-09
SDSS z,0.8947,0.8925,8.62665e-10
DES u,0.3859,0.3881,5.50603e-09
DES g,0.482,0.4776,5.20407e-09
DES r,0.6423,0.6374,2.27988e-09
DES i,0.7807,0.7758,1.25624e-09
DES z,0.9158,0.9139,8.23857e-10
DES Y,0.9866,0.983,6.79718e-10
PS1 g,0.4849,0.4811,5.13274e-09
PS1 r,0.6201,0.6156,2.53499e-09
PS1 i,0.7535,0.7504,1.40245e-09
PS1 z,0.8674,0.8669,9.26899e-10
PS1 Y,0.9628,0.9614,7.3065e-10
CFHTLS u,0.3803,0.3895,5.52249e-09
CFHTLS g,0.4844,0.4803,5.16084e-09
CFHTLS r,0.6248,0.6212,2.47266e-09
CFHTLS i,0.7678,0.7638,1.32325e-09
CFHTLS z,0.8859,0.8845,8.83167e-10
CFHT 12kx8k B,0.4399,0.44,6.498e-09
CFHT 12kx8k R,0.661,0.6578,2.08038e-09
CFHT 12kx8k I,0.8159,0.8096,1.1152e-09
UKIRT z,0.8826,0.8823,8.90324e-10
UKIRT Y,1.0315,1.0299,5.93591e-10
UKIRT J,1.2502,1.2462,3.06416e-10
UKIRT H,1.636,1.6271,1.19624e-10
UKIRT K,2.206,2.195,4.07863e-11
LSST u,0.3665,0.3743,4.54799e-09
LSST g,0.4808,0.4768,5.24138e-09
LSST r,0.621,0.6165,2.52446e-09
LSST i,0.7537,0.7506,1.40133e-09
LSST z,0.8686,0.868,9.2414e-10
LSST y,0.9705,0.9688,7.16026e-10
Bessell Murphy U,0.3597,0.3674,4.14586e-09
Bessell Murphy B,0.4378,0.4369,6.42715e-09
Bessell Murphy V,0.5489,0.5457,3.66982e-09
Bessell Murphy R,0.6524,0.6436,2.19072e-09
Bessell Murphy I,0.7984,0.7943,1.17294e-09
Bessell Murphy Bt,0.419,0.4215,6.72504e-09
Bessell Murphy Vt,0.53,0.5266,4.01224e-09
Bessell Murphy Hp,0.5349,0.5188,3.86674e-09
Bessell 88 J,1.2347,1.2258,3.21587e-10
Bessell 88 H,1.645,1.6365,1.1735e-10
Bessell 88 K,2.1663,2.1574,4.35755e-11
Bessell 88 L,3.4797,3.4602,7.33364e-12
Bessell 88 Lprime,3.8247,3.8063,5.08305e-12
Bessell 88 M,4.7347,4.725,2.22134e-12
GALEX FUV,0.1535,0.1549,6.76768e-09
GALEX NUV,0.2301,0.2304,4.58413e-09
WISE 1,3.3897,3.3387,8.21074e-12
WISE 2,4.6406,4.587,2.43841e-12
WISE 3,12.5705,11.3086,5.65225e-14
WISE 4,22.3142,22.023,5.00014e-15
IRAS12,11.3562,10.465,8.15757e-14
IRAS25,23.6079,22.258,4.28907e-15
IRAS60,60.3699,54.5695,1.06394e-16
IRAS100,101.1267,96.9972,1.21782e-17
IRAC 3.6,3.5508,3.5204,6.80809e-12
IRAC 4.5,4.496,4.4543,2.74485e-12
IRAC 5.8,5.7245,5.6564,1.08012e-12
IRAC 8.0,7.8842,7.6741,3.15764e-13
IRS 16,15.9222,15.402,1.98254e-14
IRS 22,22.4704,21.7563,5.01246e-15
MIPS 24,23.7592,23.3583,3.91555e-15
MIPS 70,71.9861,69.3644,4.75089e-17
MIPS 160,156.4274,153.6888,2.02017e-18
ACS F330W,0.3521,0.3523,3.19592e-09
ACS F410W,0.4064,0.4096,6.79505e-09
ACS F435W,0.4328,0.4341,6.54181e-09
ACS F475W,0.4747,0.471,5.40703e-09
ACS F555W,0.5361,0.5333,3.89261e-09
ACS F606W,0.5922,0.5812,2.92845e-09
ACS F625W,0.6312,0.6267,2.40256e-09
ACS F775W,0.7694,0.7654,1.31439e-09
ACS F814W,0.8059,0.7987,1.15969e-09
ACS F850LP,0.9016,0.8994,8.4932e-10
WFC3 F218W,0.2229,0.2233,4.77894e-09
WFC3 F225W,0.2372,0.2374,4.33036e-09
WFC3 F336W,0.3355,0.3359,3.32855e-09
WFC3 F390W,0.3924,0.4023,5.94869e-09
WFC3 F438W,0.4326,0.4324,6.85275e-09
WFC3 F475W,0.4774,0.4734,5.34326e-09
WFC3 F555W,0.5308,0.5238,4.03892e-09
WFC3 F606W,0.5887,0.5783,2.97294e-09
WFC3 F625W,0.6241,0.6188,2.49207e-09
WFC3 F775W,0.7648,0.7611,1.33934e-09
WFC3 F814W,0.803,0.7955,1.17397e-09
WFC3 F098M,0.9864,0.9828,6.81702e-10
WFC3 F105W,1.0551,1.0432,5.51635e-10
WFC3 F125W,1.2486,1.2365,3.11218e-10
WFC3 F140W,1.3922,1.3733,2.13053e-10
WFC3 F160W,1.537,1.5279,1.48698e-10
WFPC2 F218W,0.2207,0.2205,4.8582e-09
WFPC2 F300W,0.2992,0.3039,3.64742e-09
WFPC2 F450W,0.4556,0.4547,5.80384e-09
WFPC2 F555W,0.5442,0.5373,3.75986e-09
WFPC2 F606W,0.6001,0.5902,2.81505e-09
WFPC2 F702W,0.6919,0.6841,1.82293e-09
WFPC2 F814W,0.8002,0.793,1.18478e-09
NIC2 F110W,1.1235,1.084,4.50974e-10
NIC2 F160W,1.603,1.5859,1.29607e-10
NIC3 F110W,1.12,1.0788,4.55131e-10
NIC3 F160W,1.6042,1.5872,1.2927e-10
NIRCAM F070W,0.7046,0.6991,1.71987e-09
NIRCAM F090W,0.9025,0.8988,8.52676e-10
NIRCAM F115W,1.1543,1.1435,4.0816e-10
NIRCAM F140M,1.4053,1.4024,2.03956e-10
NIRCAM F150W,1.5007,1.4873,1.62767e-10
NIRCAM F150W2,1.6588,1.4796,1.30667e-10
NIRCAM F162M,1.6272,1.6244,1.20984e-10
NIRCAM F164N,1.6445,1.6446,1.14173e-10
NIRCAM F182M,1.8452,1.8389,7.78176e-11
NIRCAM F187N,1.8739,1.8737,7.09931e-11
NIRCAM F200W,1.9886,1.9681,6.00903e-11
NIRCAM F200W,1.9886,1.9681,6.00903e-11
NIRCAM F210M,2.0955,2.0908,4.91626e-11
NIRCAM F250M,2.5032,2.5006,2.5278e-11
NIRCAM F277W,2.7618,2.728,1.77123e-11
NIRCAM F300M,2.9892,2.9819,1.29998e-11
NIRCAM F322W2,3.232,3.0736,1.03319e-11
NIRCAM F323N,3.2369,3.2368,9.62799e-12
NIRCAM F335M,3.3621,3.3539,8.32451e-12
NIRCAM F356W,3.5684,3.5287,6.70861e-12
NIRCAM F405N,4.0517,4.0516,3.96684e-12
NIRCAM F410M,4.0822,4.0723,3.9406e-12
NIRCAM F430M,4.2813,4.2785,3.27266e-12
NIRCAM F444W,4.404,4.3496,2.987e-12
NIRCAM F460M,4.6285,4.6229,2.41358e-12
NIRCAM F466N,4.6544,4.654,2.29198e-12
NIRCAM F470N,4.7078,4.7078,2.26424e-12
NIRCAM F480M,4.8167,4.8094,2.08078e-12
MIRI F560W,5.6362,5.588,1.14167e-12
MIRI F770W,7.6428,7.526,3.50433e-13
MIRI F1000W,9.9544,9.8806,1.22357e-13
MIRI F1130W,11.3087,11.2962,7.30515e-14
MIRI F1500W,15.0651,14.9272,2.37513e-14
MIRI F1800W,17.9865,17.876,1.16713e-14
MIRI F2100W,20.795,20.5607,6.601e-15
MIRI F2550W,25.3639,25.1519,2.975e-15
NIRISS F090W,0.9031,0.8985,8.5133e-10
NIRISS F115W,1.1499,1.1388,4.13773e-10
NIRISS F140M,1.4044,1.401,2.04526e-10
NIRISS F150W,1.4936,1.4797,1.65658e-10
NIRISS F158M,1.5825,1.5704,1.34061e-10
NIRISS F200W,1.993,1.9714,5.96423e-11
NIRISS F277W,2.7641,2.711,1.7806e-11
NIRISS F356W,3.5926,3.5326,6.58052e-12
NIRISS F380M,3.8229,3.7742,5.11523e-12
NIRISS F430M,4.2792,4.2303,3.32612e-12
NIRISS F444W,4.427,4.3587,2.93953e-12
NIRISS F480M,4.8113,4.7529,2.11727e-12
OMEGACAM u,0.359,0.3632,3.75085e-09
OMEGACAM g,0.4735,0.4702,5.45315e-09
OMEGACAM r,0.6276,0.6233,2.44507e-09
OMEGACAM i,0.7495,0.7453,1.4279e-09
OMEGACAM z,0.8842,0.884,8.84201e-10
VIRCAM Z,0.8899,0.8815,8.74504e-10
VIRCAM Y,1.0253,1.0204,6.08351e-10
VIRCAM H,1.2535,1.248,3.04518e-10
VIRCAM J,1.643,1.6339,1.17897e-10
VIRCAM Ks,2.1494,2.1349,4.50069e-11
SkyMapper u,0.359,0.3685,3.39505e-09
SkyMapper v,0.3836,0.3874,5.71726e-09
SkyMapper g,0.5075,0.5016,4.55807e-09
SkyMapper r,0.6138,0.6078,2.6248e-09
SkyMapper i,0.7768,0.7734,1.27465e-09
SkyMapper z,0.9143,0.9119,8.20138e-10
