# ASTM 2000, Standard Solar Constant and Air Mass Zero Solar Spectral Irradiance Tables, Standard E490-00, American Society for Testing and Materials, West Conshohocken, PA.
#
# Solar constant 1366.1 W/m2
#
# Irradiance is averaged over a small bandwidth centered at the given wavelength.
#
# Table 3
# Units: μm, W/m2/μm, W/m2
wavelength, spectral irradiance, integrated irradiance, cumulative percent
0.1475, 8.485e-2, 7.95e-3, 5.82e-4
1.362, 367.7, 1139.35, 83.40
0.1485, 8.199e-2, 8.03e-3, 5.88e-4
1.364, 365.7, 1140.08, 83.46
0.1495, 7.956e-2, 8.12e-3, 5.94e-4
1.366, 365.7, 1140.81, 83.51
0.1505, 8.697e-2, 8.20e-3, 6.00e-4
1.368, 362.8, 1141.54, 83.56
0.1515, 9.266e-2, 8.29e-3, 6.07e-4
1.370, 359.9, 1142.27, 83.62
0.1525, 0.1163, 8.39e-3, 6.14e-4
1.372, 362.1, 1142.99, 83.67
0.1535, 0.1299, 8.52e-3, 6.23e-4
1.374, 361.1, 1143.71, 83.72
0.1545, 0.2059, 8.68e-3, 6.36e-4
1.376, 356.1, 1144.43, 83.77
0.1555, 0.2144, 8.89e-3, 6.51e-4
1.378, 358.0, 1145.14, 83.83
0.1565, 0.1847, 9.09e-3, 6.66e-4
1.380, 357.9, 1145.86, 83.88
0.1575, 0.1717, 9.27e-3, 6.79e-4
1.382, 354.5, 1146.57, 83.93
0.1585, 0.1675, 9.44e-3, 6.91e-4
1.384, 354.7, 1147.28, 83.98
0.1595, 0.1754, 9.61e-3, 7.04e-4
1.386, 353.2, 1147.99, 84.03
0.1605, 0.1934, 9.80e-3, 7.17e-4
1.388, 353.0, 1148.69, 84.09
0.1615, 0.2228, 1.00e-2, 7.32e-4
1.390, 350.6, 1149.40, 84.14
0.1625, 0.2519, 1.02e-2, 7.50e-4
1.392, 351.3, 1150.10, 84.19
0.1635, 0.2841, 1.05e-2, 7.69e-4
1.394, 348.8, 1150.80, 84.24
0.1645, 0.2973, 1.08e-2, 7.91e-4
1.396, 348.7, 1151.50, 84.29
0.1655, 0.4302, 1.12e-2, 8.17e-4
1.398, 349.2, 1152.19, 84.34
0.1665, 0.3989, 1.16e-2, 8.48e-4
1.400, 342.7, 1152.89, 84.39
0.1675, 0.3875, 1.20e-2, 8.76e-4
1.402, 343.9, 1153.57, 84.44
0.1685, 0.4556, 1.24e-2, 9.07e-4
1.404, 342.8, 1154.26, 84.49
0.1695, 0.5877, 1.29e-2, 9.46e-4
1.406, 343.1, 1154.95, 84.54
0.1705, 0.6616, 1.35e-2, 9.91e-4
1.408, 342.7, 1155.63, 84.59
0.1715, 0.6880, 1.42e-2, 1.04e-3
1.410, 341.8, 1156.32, 84.64
0.1725, 0.7252, 1.49e-2, 1.09e-3
1.412, 334.8, 1156.99, 84.69
0.1735, 0.7645, 1.57e-2, 1.15e-3
1.414, 337.7, 1157.67, 84.74
0.1745, 0.9067, 1.65e-2, 1.21e-3
1.416, 338.5, 1158.34, 84.79
0.1755, 1.079, 1.75e-2, 1.28e-3
1.418, 338.6, 1159.02, 84.84
0.1765, 1.220, 1.86e-2, 1.36e-3
1.420, 335.7, 1159.69, 84.89
0.1775, 1.403, 2.00e-2, 1.46e-3
1.422, 331.5, 1160.36, 84.94
0.1785, 1.538, 2.14e-2, 1.57e-3
1.424, 331.1, 1161.02, 84.99
0.1795, 1.576, 2.30e-2, 1.68e-3
1.426, 328.1, 1161.68, 85.04
0.1805, 1.831, 2.47e-2, 1.81e-3
1.428, 328.5, 1162.34, 85.08
0.1815, 2.233, 2.67e-2, 1.96e-3
1.430, 325.7, 1162.99, 85.13
0.1825, 2.243, 2.90e-2, 2.12e-3
1.432, 330.0, 1163.65, 85.18
0.1835, 2.244, 312e-2, 2.28e-3
1.434, 328.4, 1164.31, 85.23
0.1845, 2.066, 3.34e-2, 2.44e-3
1.436, 328.5, 1164.96, 85.28
0.1855, 2.311, 3.55e-2, 2.60e-3
1.438, 328.3, 1165.62, 85.32
0.1865, 2.700, 3.81e-2, 2.79e-3
1.440, 318.8, 1166.27, 85.37
0.1875, 3.009, 4.09e-2, 2.99e-3
1.442, 318.6, 1166.91, 85.42
0.1885, 3.291, 4.41e-2, 3.22e-3
1.444, 319.7, 1167.54, 85.47
0.1895, 3.569, 4.75e-2, 3.48e-3
1.446, 321.6, 1168.19, 85.51
0.1905, 3.764, 5.12e-2, 3.74e-3
1.448, 321.6, 1168.83, 85.56
0.1915, 4.165, 5.51e-2, 4.03e-3
1.450, 318.7, 1169.47, 85.61
0.1925, 4.113, 5.93e-2, 4.34e-3
1.452, 315.4, 1170.10, 85.65
0.1935, 3.808, 6.32e-2, 4.63e-3
1.454, 314.3, 1170.73, 85.70
0.1945, 5.210, 6.77e-2, 4.96e-3
1.456, 313.1, 1171.36, 85.74
0.1955, 5.427, 7.30e-2, 5.35e-3
1.458, 316.7, 1171.99, 85.79
0.1965, 6.008, 7.88e-2, 5.77e-3
1.460, 315.6, 1172.62, 85.84
