# ASTM 2000, Standard Solar Constant and Air Mass Zero Solar Spectral Irradiance Tables, Standard E490-00, American Society for Testing and Materials, West Conshohocken, PA.
#
# Solar constant 1366.1 W/m2
#
# Irradiance is averaged over a small bandwidth centered at the given wavelength.
#
# Table 3
# Units: μm, W/m2/μm, W/m2
wavelength, spectral irradiance, integrated irradiance, cumulative percent
0.4215, 1797, 143.38, 10.50
1.910, 137.8, 1270.17, 92.98
0.4225, 1582, 145.07, 10.62
1.912, 135.4, 1270.45, 93.00
0.4235, 1711, 146.72, 10.74
1.914, 137.0, 1270.72, 93.02
0.4245, 1767, 148.46, 10.87
1.916, 136.0, 1270.99, 93.04
0.4255, 1695, 150.19, 10.99
1.918, 135.3, 1271.26, 93.06
0.4265, 1698, 151.88, 11.12
1.920, 133.3, 1271.53, 93.08
0.4275, 1569, 153.52, 11.24
1.922, 135.0, 1271.80, 93.10
0.4285, 1587, 155.10, 11.35
1.924, 134.1, 1272.07, 93.12
0.4295, 1475, 156.63, 11.47
1.926, 134.4, 1272.34, 93.14
0.4305, 1135, 157.93, 11.56
1.928, 132.2, 1272.60, 93.16
0.4315, 1686, 159.34, 11.66
1.930, 131.3, 1272.87, 93.18
0.4325, 1646, 161.01, 11.79
1.932, 130.8, 1273.13, 93.19
0.4335, 1731, 162.70, 11.91
1.934, 132.0, 1273.39, 93.21
0.4345, 1670, 164.40, 12.03
1.936, 132.8, 1273.66, 93.23
0.4355, 1723, 166.09, 12.16
1.938, 132.1, 1273.92, 93.25
0.4365, 1929, 167.92, 12.29
1.940, 129.9, 1274.18, 93.27
0.4375, 1806, 169.79, 12.43
1.942, 129.4, 1274.44, 93.29
0.4385, 1567, 171.47, 12.55
1.944, 120.3, 1274.69, 93.31
0.4395, 1825, 173.17, 12.68
1.946, 119.2, 1274.93, 93.33
0.4405, 1713, 174.94, 12.81
1.948, 127.1, 1275.18, 93.34
0.4415, 1931, 176.76, 12.94
1.950, 126.1, 1275.43, 93.36
0.4425, 1980, 178.71, 13.08
1.952, 125.5, 1275.68, 93.38
0.4435, 1909, 180.66, 13.22
1.954, 128.6, 1275.94, 93.40
0.4445, 1973, 182.60, 13.37
1.956, 127.6, 1276.19, 93.42
0.4455, 1821, 184.50, 13.51
1.958, 127.1, 1276.45, 93.44
0.4465, 1891, 186.35, 13.64
1.960, 126.1, 1276.70, 93.46
0.4475, 2077, 188.34, 13.79
1.962, 124.0, 1276.95, 93.47
0.4485, 1973, 190.36, 13.93
1.964, 122.2, 1277.20, 93.49
0.4495, 2027, 192.36, 14.08
1.966, 123.1, 1277.44, 93.51
0.4505, 2144, 194.45, 14.23
1.968, 124.0, 1277.69, 93.53
0.4515, 2109, 196.57, 14.39
1.970, 123.9, 1277.94, 93.55
0.4525, 1941, 198.60, 14.54
1.972, 121.3, 1278.18, 93.56
0.4535, 1970, 200.55, 14.68
1.974, 120.8, 1278.43, 93.58
0.4545, 1979, 202.53, 14.83
1.976, 122.4, 1278.67, 93.60
0.4555, 2034, 204.53, 14.97
1.978, 119.4, 1278.91, 93.62
0.4565, 2077, 206.59, 15.12
1.980, 119.6, 1279.15, 93.64
0.4575, 2100, 208.68, 15.28
1.982, 120.5, 1279.39, 93.65
0.4585, 1971, 210.71, 15.42
1.984, 119.7, 1279.63, 93.67
0.4595, 2009, 212.70, 15.57
1.986, 117.8, 1279.87, 93.69
0.4605, 2040, 214.73, 15.72
1.988, 119.5, 1280.10, 93.71
0.4615, 2055, 216.77, 15.87
1.990, 119.8, 1280.34, 93.72
0.4625, 2104, 218.85, 16.02
1.992, 118.0, 1280.58, 93.74
0.4635, 2040, 220.93, 16.17
1.994, 116.2, 1280.82, 93.76
0.4645, 1976, 222.93, 16.32
1.996, 117.3, 1281.05, 93.77
0.4655, 2042, 224.94, 16.47
1.998, 115.9, 1281.28, 93.79
0.4665, 1921, 226.92, 16.61
2.000, 117.0, 1281.52, 93.81
0.4675, 2015, 228.89, 16.76
2.002, 116.1, 1281.75, 93.83
0.4685, 1994, 230.90, 16.90
2.004, 114.8, 1281.98, 93.84
0.4695, 1990, 232.89, 17.05
2.006, 114.7, 1282.21, 93.86
0.4705, 1877, 234.82, 17.19
2.008, 115.4, 1282.44, 93.88
0.4715, 2018, 236.77, 17.33
2.010, 114.9, 1282.67, 93.89
0.4725, 2041, 238.80, 17.48
2.012, 114.5, 1282.90, 93.91
0.4735, 1991, 240.81, 17.63
2.014, 113.8, 1283.13, 93.93
0.4745, 2051, 242.84, 17.78
2.016, 113.7, 1283.36, 93.94
0.4755, 2016, 244.87, 17.92
2.018, 113.4, 1283.58, 93.96
0.4765, 1956, 246.85, 18.07
2.020, 111.6, 1283.81, 93.98
0.4775, 2075, 248.87, 18.22
2.022, 110.7, 1284.03, 93.99
0.4785, 2009, 250.91, 18.37
2.024, 111.6, 1284.25, 94.01
0.4795, 2076, 252.95, 18.52
2.026, 111.5, 1284.47, 94.02
0.4805, 2035, 255.01, 18.67
2.028, 110.7, 1284.70, 94.04
0.4815, 2090, 257.07, 18.82
2.030, 108.6, 1284.92, 94.06
0.4825, 2023, 259.13, 18.97
2.032, 109.8, 1285.13, 94.07
0.4835, 2019, 261.15, 19.12
2.034, 109.2, 1285.35, 94.09
0.4845, 1969, 263.14, 19.26
2.036, 108.3, 1285.57, 94.11
0.4855, 1830, 265.04, 19.40
2.038, 106.4, 1285.79, 94.12
0.4865, 1625, 266.77, 19.53
2.040, 107.8, 1286.00, 94.14
0.4875, 1830, 268.50, 19.65
2.042, 107.6, 1286.22, 94.15
0.4885, 1914, 270.37, 19.79
2.044, 107.6, 1286.43, 94.17
0.4895, 1960, 272.31, 19.93
2.046, 107.1, 1286.65, 94.18
0.4905, 2007, 274.29, 20.08
2.048, 106.3, 1286.86, 94.20
0.4915, 1896, 276.24, 20.22
2.050, 105.9, 1287.07, 94.22
0.4925, 1896, 278.14, 20.36
2.052, 104.7, 1287.28, 94.23
0.4935, 1888, 280.03, 20.50
2.054, 104.6, 1287.49, 94.25
0.4945, 2058, 282.00, 20.64
2.056, 104.6, 1287.70, 94.26
0.4955, 1926, 283.99, 20.79
2.058, 104.0, 1287.91, 94.28
0.4965, 2017, 285.97, 20.93
2.060, 102.8, 1288.12, 94.29
0.4975, 2018, 287.98, 21.08
2.062, 102.3, 1288.32, 94.31
0.4985, 1866, 289.93, 21.22
2.064, 100.5, 1288.52, 94.32
0.4995, 1970, 291.84, 21.36
2.066, 102.5, 1288.73, 94.34
0.5005, 1857, 293.76, 21.50
2.068, 101.9, 1288.93, 94.35
0.5015, 1812, 295.59, 21.64
2.070, 100.3, 1289.13, 94.37
0.5025, 1894, 297.44, 21.77
2.072, 100.4, 1289.33, 94.38
0.5035, 1934, 299.36, 21.91
2.074, 100.9, 1289.54, 94.40
0.5045, 1869, 301.26, 22.05
2.076, 100.6, 1289.74, 94.41
0.5055, 1993, 303.19, 22.19
2.078, 100.0, 1289.94, 94.42
0.5065, 1961, 305.17, 22.34
2.080, 98.78, 1290.14, 94.44
0.5075, 1906, 307.10, 22.48
2.082, 98.64, 1290.33, 94.45
0.5085, 1919, 309.01, 22.62
2.084, 97.72, 1290.53, 94.47
0.5095, 1916, 310.93, 22.76
2.086, 98.52, 1290.73, 94.48
0.5105, 1947, 312.86, 22.90
2.088, 98.35, 1290.92, 94.50
0.5115, 1997, 314.84, 23.05
2.090, 97.88, 1291.12, 94.51
0.5125, 1867, 316.77, 23.19
2.092, 95.67, 1291.31, 94.53
0.5135, 1861, 318.63, 23.32
2.094, 95.93, 1291.51, 94.54
0.5145, 1874, 320.50, 23.46
2.096, 95.80, 1291.70, 94.55
0.5155, 1900, 322.39, 23.60
2.098, 96.20, 1291.89, 94.57
0.5165, 1669, 324.17, 23.73
2.100, 96.06, 1292.08, 94.58
0.5175, 1726, 325.87, 23.85
2.102, 95.77, 1292.27, 94.60
0.5185, 1654, 327.56, 23.98
2.104, 95.59, 1292.46, 94.61
0.5195, 1828, 329.30, 24.11
2.106, 95.74, 1292.66, 94.62
0.5205, 1831, 331.13, 24.24
2.108, 95.13, 1292.85, 94.64
0.5215, 1906, 333.00, 24.38
2.110, 93.96, 1293.04, 94.65
0.5225, 1823, 334.86, 24.51
2.112, 94.52, 1293.22, 94.67
0.5235, 1894, 336.72, 24.65
2.114, 94.36, 1293.41, 94.68
0.5245, 1958, 338.65, 24.79
2.116, 93.31, 1293.60, 94.69
0.5255, 1930, 340.59, 24.93
2.118, 93.11, 1293.79, 94.71
0.5265, 1674, 342.39, 25.06
2.120, 92.75, 1293.97, 94.72
0.5275, 1828, 344.14, 25.19
2.122, 92.75, 1294.16, 94.73
0.5285, 1897, 346.01, 25.33
2.124, 91.89, 1294.34, 94.75
0.5295, 1918, 347.91, 25.47
2.126, 92.08, 1294.53, 94.76
0.5305, 1952, 349.85, 25.61
2.128, 92.25, 1294.71, 94.77
0.5315, 1963, 351.81, 25.75
2.130, 92.09, 1294.90, 94.79
0.5325, 1770, 353.67, 25.89
2.132, 92.10, 1295.08, 94.80
0.5335, 1923, 355.52, 26.02
2.134, 91.55, 1295.26, 94.81
0.5345, 1858, 357.41, 26.16
2.136, 90.12, 1295.45, 94.83
0.5355, 1990, 359.34, 26.30
2.138, 91.10, 1295.63, 94.84
0.5365, 1871, 361.27, 26.45
2.140, 90.83, 1295.81, 94.85
0.5375, 1882, 363.14, 26.58
2.142, 90.64, 1295.99, 94.87
0.5385, 1904, 365.04, 26.72
2.144, 90.06, 1296.17, 94.88
0.5395, 1832, 366.90, 26.86
2.146, 89.39, 1296.35, 94.89
0.5405, 1760, 368.70, 26.99
2.148, 89.79, 1296.53, 94.91
0.5415, 1881, 370.53, 27.12
2.150, 89.57, 1296.71, 94.92
0.5425, 1825, 372.38, 27.26
2.152, 89.13, 1296.89, 94.93
0.5435, 1879, 374.24, 27.39
2.154, 88.78, 1297.07, 94.95
0.5445, 1879, 376.11, 27.53
2.156, 88.74, 1297.24, 94.96
0.5455, 1901, 378.00, 27.67
2.158, 88.42, 1297.42, 94.97
0.5465, 1879, 379.90, 27.81
2.160, 87.81, 1297.60, 94.99
0.5475, 1833, 381.75, 27.94
2.162, 86.86, 1297.77, 95.00
0.5485, 1863, 383.60, 28.08
2.164, 84.56, 1297.94, 95.01
0.5495, 1895, 385.48, 28.22
2.166, 78.49, 1298.11, 95.02
0.5505, 1862, 387.36, 28.35
2.168, 83.00, 1298.27, 95.03
0.5515, 1871, 389.22, 28.49
2.170, 85.57, 1298.44, 95.05
0.5525, 1846, 391.08, 28.63
2.172, 85.91, 1298.61, 95.06
0.5535, 1882, 392.95, 28.76
2.174, 85.92, 1298.78, 95.07
0.5545, 1898, 394.84, 28.90
2.176, 85.32, 1298.95, 95.08
0.5555, 1897, 396.73, 29.04
2.178, 84.25, 1299.12, 95.10
0.5565, 1821, 398.59, 29.18
2.180, 84.97, 1299.29, 95.11
0.5575, 1846, 400.43, 29.31
2.182, 84.25, 1299.46, 95.12
0.5585, 1787, 402.24, 29.44
2.184, 84.57, 1299.63, 95.13
0.5595, 1808, 404.04, 29.58
2.186, 84.65, 1299.80, 95.15
0.5605, 1843, 405.87, 29.71
2.188, 82.77, 1299.96, 95.16
0.5615, 1824, 407.70, 29.84
2.190, 83.04, 1300.13, 95.17
0.5625, 1850, 409.54, 29.98
2.192, 83.77, 1300.30, 95.18
0.5635, 1861, 411.40, 30.11
2.194, 83.49, 1300.46, 95.20
0.5645, 1854, 413.25, 30.25
2.196, 83.18, 1300.63, 95.21
0.5655, 1798, 415.08, 30.38
2.198, 82.99, 1300.80, 95.22
0.5665, 1829, 416.89, 30.52
2.200, 82.65, 1300.96, 95.23
0.5675, 1887, 418.75, 30.65
2.202, 82.30, 1301.13, 95.24
0.5685, 1810, 420.60, 30.79
2.204, 82.11, 1301.29, 95.26
0.5695, 1860, 422.44, 30.92
2.206, 79.66, 1301.45, 95.27
0.5705, 1769, 424.25, 31.06
2.208, 79.66, 1301.61, 95.28
0.5715, 1823, 426.05, 31.19
2.210, 80.80, 1301.77, 95.29
0.5725, 1892, 427.90, 31.32
2.212, 81.05, 1301.93, 95.30
0.5735, 1876, 429.79, 31.46
2.214, 80.72, 1302.10, 95.31
0.5745, 1867, 431.66, 31.60
2.216, 79.94, 1302.26, 95.33
0.5755, 1830, 433.51, 31.73
2.218, 79.70, 1302.42, 95.34
0.5765, 1846, 435.35, 31.87
2.220, 79.97, 1302.58, 95.35
0.5775, 1857, 437.20, 32.00
2.222, 79.62, 1302.74, 95.36
0.5785, 1783, 439.02, 32.14
2.224, 79.26, 1302.89, 95.37
0.5795, 1828, 440.83, 32.27
2.226, 78.11, 1303.05, 95.38
0.5805, 1838, 442.66, 32.40
2.228, 78.26, 1303.21, 95.40
0.5815, 1853, 444.50, 32.54
2.230, 78.31, 1303.37, 95.41
0.5825, 1873, 446.37, 32.67
2.232, 78.15, 1303.52, 95.42
0.5835, 1857, 448.23, 32.81
2.234, 78.02, 1303.68, 95.43
0.5845, 1860, 450.09, 32.95
2.236, 77.58, 1303.83, 95.44
0.5855, 1783, 451.91, 33.08
2.238, 76.48, 1303.99, 95.45
0.5865, 1830, 453.72, 33.21
2.240, 76.39, 1304.14, 95.46
0.5875, 1848, 455.56, 33.35
2.242, 76.42, 1304.29, 94.48
0.5885, 1750, 457.36, 33.48
2.244, 76.24, 1304.45, 95.49
0.5895, 1612, 459.04, 33.60
2.246, 76.12, 1304.60, 95.50
0.5905, 1813, 460.75, 33.73
2.248, 75.20, 1304.75, 95.51
0.5915, 1787, 462.55, 33.86
2.250, 75.41, 1304.90, 95.52
0.5925, 1808, 464.35, 33.99
2.252, 75.12, 1305.05, 95.53
0.5935, 1796, 466.15, 34.12
2.254, 74.02, 1305.20, 95.54
0.5945, 1773, 467.94, 34.25
2.256, 74.22, 1305.35, 95.55
0.5955, 1782, 469.72, 34.38
2.258, 74.41, 1305.50, 95.56
0.5965, 1805, 471.51, 34.52
2.260, 74.21, 1305.65, 95.57
0.5975, 1780, 473.80, 34.65
2.262, 72.99, 1305.79, 95.59
0.5985, 1757, 475.07, 34.78
2.264, 73.29, 1305.94, 95.60
0.5995, 1774, 476.84, 34.91
2.266, 73.15, 1306.09, 95.61
0.6005, 1746, 478.60, 35.03
2.268, 73.27, 1306.23, 95.62
0.6015, 1751, 480.35, 35.16
2.270, 72.97, 1306.38, 95.63
0.6025, 1719, 482.08, 35.29
2.272, 72.77, 1306.52, 95.64
0.6035, 1787, 483.83, 35.42
2.274, 72.52, 1306.67, 95.65
0.6045, 1776, 485.61, 35.55
2.276, 72.39, 1306.81, 95.66
0.6055, 1763, 487.38, 35.68
2.278, 72.42, 1306.96, 95.67
0.6065, 1759, 489.15, 35.81
2.280, 71.65, 1307.10, 95.68
0.6075, 1757, 490.90, 35.93
2.282, 70.07, 1307.24, 95.69
0.6085, 1743, 492.65, 36.06
2.284, 71.25, 1307.39, 95.70
0.6095, 1744, 494.40, 36.19
2.286, 71.24, 1307.53, 95.71
0.6105, 1703, 496.12, 36.32
2.288, 71.27, 1307.67, 95.72
0.6115, 1746, 497.85, 36.44
2.290, 71.10, 1307.81, 95.73
0.6125, 1705, 499.57, 36.57
2.292, 70.67, 1307.95, 95.74
0.6135, 1683, 501.26, 36.69
2.294, 69.20, 1308.09, 95.75
0.6145, 1713, 502.96, 36.82
2.296, 69.08, 1308.23, 95.76
0.6155, 1713, 504.67, 36.94
2.298, 69.19, 1308.37, 95.77
0.6165, 1609, 506.33, 37.06
2.300, 69.53, 1308.51, 95.78
0.6175, 1707, 507.99, 37.19
2.302, 69.55, 1308.65, 95.79
0.6185, 1724, 509.71, 37.31
2.304, 69.31, 1308.79, 95.80
0.6195, 1707, 511.42, 37.44
2.306, 69.23, 1308.93, 95.81
0.6205, 1734, 513.14, 37.56
2.308, 69.01, 1309.06, 95.82
0.6215, 1690, 514.85, 37.69
2.310, 68.70, 1309.20, 95.84
0.6225, 1713, 516.56, 37.81
2.312, 68.67, 1309.34, 95.85
0.6235, 1666, 518.24, 37.94
2.314, 68.26, 1309.48, 95.86
0.6245, 1656, 519.91, 38.06
2.316, 67.79, 1309.61, 95.87
0.6255, 1632, 521.55, 38.18
2.318, 67.45, 1309.75, 95.87
0.6265, 1697, 523.21, 38.30
2.320, 67.68, 1309.88, 95.88
0.6275, 1697, 524.91, 38.42
2.322, 66.75, 1310.02, 95.89
0.6285, 1697, 526.61, 38.55
2.324, 65.36, 1310.15, 95.90
0.6295, 1677, 528.29, 38.67
2.326, 65.59, 1310.28, 95.91
0.631, 1639, 530.78, 38.85
2.328, 66.29, 1310.41, 95.92
0.633, 1651, 534.07, 39.09
2.330, 66.16, 1310.54, 95.93
0.635, 1656, 537.38, 39.34
2.332, 65.84, 1310.68, 95.94
0.637, 1654, 540.69, 39.58
2.334, 65.71, 1310.81, 95.95
0.639, 1651, 543.99, 39.82
2.336, 65.36, 1310.94, 95.96
0.641, 1614, 547.25, 40.06
2.338, 64.96, 1311.07, 95.97
0.643, 1621, 550.49, 40.30
2.340, 65.20, 1311.20, 95.98
0.645, 1627, 553.74, 40.53
2.342, 65.39, 1311.33, 95.99
0.647, 1603, 556.97, 40.77
2.344, 65.09, 1311.46, 96.00
0.649, 1558, 560.13, 41.00
2.346, 64.86, 1311.59, 96.01
0.651, 1606, 563.29, 41.23
2.348, 64.72, 1311.72, 96.02
0.653, 1599, 566.50, 41.47
2.350, 64.53, 1311.85, 96.03
0.655, 1532, 596.63, 41.70
2.352, 62.89, 1311.98, 96.04
0.657, 1384, 572.54, 41.91
2.354, 62.39, 1312.10, 96.05
0.659, 1549, 575.48, 42.13
2.356, 62.82, 1312.23, 96.06
0.661, 1571, 578.60, 42.35
2.358, 62.66, 1312.35, 96.07
0.663, 1555, 581.72, 42.58
2.360, 63.08, 1312.48, 96.07
0.665, 1560, 584.84, 42.81
2.362, 63.05, 1312.61, 96.08
0.667, 1535, 587.93, 43.04
2.364, 62.95, 1312.73, 96.09
0.669, 1546, 591.01, 43.26
2.366, 62.84, 1312.86, 96.10
0.671, 1516, 594.08, 43.49
2.368, 62.63, 1312.98, 96.11
0.673, 1521, 597.11, 43.71
2.370, 62.11, 1313.11, 96.12
0.675, 1510, 600.15, 43.93
2.372, 62.07, 1313.23, 96.13
0.677, 1508, 603.16, 44.15
2.374, 60.66, 1313.35, 96.14
0.679, 1498, 606.17, 44.37
2.376, 61.64, 1313.48, 96.15
0.681, 1492, 609.16, 44.59
2.378, 61.92, 1313.60, 96.16
0.683, 1479, 612.13, 44.81
2.380, 61.72, 1313.72, 96.17
0.685, 1455, 615.07, 45.02
2.382, 60.98, 1313.85, 96.17
0.687, 1467, 617.99, 45.24
2.384, 58.85, 1313.97, 96.18
0.689, 1461, 620.92, 45.45
2.386, 59.08, 1314.08, 96.19
0.691, 1448, 623.83, 45.66
2.388, 60.04, 1314.20, 96.20
0.693, 1448, 626.72, 45.88
2.390, 60.29, 1314.32, 96.21
0.695, 1436, 629.61, 46.09
2.392, 60.08, 1314.44, 96.22
0.697, 1416, 632.46, 46.30
2.394, 60.03, 1314.56, 96.23
0.699, 1425, 635.30, 46.50
2.396, 59.96, 1314.68, 96.24
0.701, 1386, 638.11, 46.71
2.398, 59.89, 1314.80, 96.25
0.703, 1388, 640.89, 46.91
2.400, 59.44, 1314.92, 96.25
0.705, 1415, 643.69, 47.12
2.402, 59.65, 1315.04, 96.26
0.707, 1400, 646.51, 47.33
2.404, 59.45, 1315.16, 96.27
0.709, 1384, 649.29, 47.53
2.406, 59.19, 1315.28, 96.28
0.711, 1385, 652.06, 47.73
2.408, 59.15, 1315.40, 96.29
0.713, 1373, 654.82, 47.93
2.410, 59.02, 1315.52, 96.30
0.715, 1366, 657.56, 48.13
2.412, 58.94, 1315.63, 96.31
0.717, 1354, 660.28, 48.33
2.414, 57.34, 1315.75, 96.31
0.719, 1328, 662.96, 48.53
2.416, 55.99, 1315.86, 96.32
0.721, 1331, 665.62, 48.72
2.418, 57.48, 1315.98, 96.33
0.723, 1348, 668.30, 48.92
2.420, 57.70, 1316.09, 96.34
0.725, 1350, 671.00, 49.12
2.422, 57.67, 1316.21, 96.35
0.727, 1346, 673.69, 49.31
2.424, 57.26, 1316.32, 96.36
0.729, 1319, 676.36, 49.51
2.426, 57.17, 1316.44, 96.36
0.731, 1326, 679.00, 49.70
2.428, 57.12, 1316.55, 96.37
0.733, 1318, 681.64, 49.90
2.430, 57.12, 1316.67, 96.38
0.735, 1309, 684.27, 50.09
2.432, 57.02, 1316.78, 96.39
0.737, 1307, 686.89, 50.28
2.434, 56.41, 1316.89, 96.40
0.739, 1278, 689.47, 50.47
2.436, 56.18, 1317.01, 96.41
0.741, 1258, 692.01, 50.66
2.438, 55.99, 1317.12, 96.41
0.743, 1286, 694.55, 50.84
2.440, 56.39, 1317.23, 96.42
0.745, 1279, 697.11, 51.03
2.442, 56.17, 1317.34, 96.43
0.747, 1283, 699.67, 51.22
2.444, 56.03, 1317.46, 96.44
0.749, 1270, 702.23, 51.40
2.446, 54.98, 1317.57, 96.45
0.751, 1262, 704.76, 51.59
2.448, 54.57, 1317.68, 96.46
0.753, 1259, 707.28, 51.77
2.450, 54.62, 1317.79, 96.46
0.755, 1255, 709.79, 51.96
2.452, 54.32, 1317.89, 96.47
0.757, 1248, 712.30, 52.14
2.454, 54.55, 1318.00, 96.48
0.759, 1240, 714.78, 52.32
2.456, 53.70, 1318.11, 96.49
0.761, 1237, 717.26, 52.50
2.458, 53.92, 1318.22, 96.50
0.763, 1241, 719.74, 52.69
2.460, 54.57, 1318.33, 96.50
0.765, 1221, 722.20, 52.87
2.462, 54.42, 1318.44, 96.51
0.767, 1185, 724.60, 53.04
2.464, 54.35, 1318.55, 96.52
0.769, 1203, 726.99, 53.22
2.466, 54.05, 1318.65, 96.53
0.771, 1204, 729.40, 53.39
2.468, 53.90, 1318.76, 96.53
0.773, 1208, 731.81, 53.57
2.470, 52.85, 1318.87, 96.54
0.775, 1188, 734.21, 53.74
2.472, 53.30, 1318.97, 96.55
0.777, 1196, 736.59, 53.92
2.474, 53.13, 1319.08, 96.56
0.779, 1187, 738.97, 54.09
2.476, 53.43, 1319.19, 96.57
0.781, 1187, 741.35, 54.27
2.478, 53.03, 1319.29, 96.57
0.783, 1176, 743.71, 54.44
2.480, 51.77, 1319.40, 96.58
0.785, 1180, 746.07, 54.61
2.482, 51.40, 1319.50, 96.59
0.787, 1177, 748.42, 54.79
2.484, 52.19, 1319.61, 96.60
0.789, 1174, 750.77, 54.96
2.486, 51.60, 1319.71, 96.60
0.791, 1158, 753.11, 55.13
2.488, 51.69, 1319.81, 96.61
0.793, 1143, 755.41, 55.30
2.490, 52.25, 1319.92, 96.62
0.795, 1134, 757.68, 55.46
2.492, 51.98, 1320.02, 96.63
0.797, 1152, 759.97, 55.63
2.494, 51.75, 1320.12, 96.63
0.799, 1135, 762.26, 55.80
2.496, 51.52, 1320.23, 96.64
0.801, 1142, 764.54, 55.96
2.498, 51.54, 1320.33, 96.65
0.803, 1129, 766.81, 56.13
2.500, 51.55, 1320.43, 96.66
0.805, 1115, 769.05, 56.30
2.52, 49.84, 1321.45, 96.73
0.807, 1120, 771.29, 56.46
2.54, 48.14, 1322.43, 96.80
0.809, 1095, 773.50, 56.62
2.56, 46.72, 1323.38, 96.87
0.811, 1114, 775.71, 56.78
2.58, 45.50, 1324.30, 96.94
0.813, 1115, 777.94, 56.95
2.60, 44.57, 1325.20, 97.01
0.815, 1107, 780.16, 57.11
2.62, 43.05, 1326.08, 97.07
0.817, 1104, 782.37, 57.27
2.64, 42.11, 1326.93, 97.13
0.819, 1063, 784.54, 57.43
2.66, 40.79, 1327.76, 97.19
0.821, 1080, 786.68, 57.59
2.68, 39.68, 1328.56, 97.25
0.823, 1073, 788.84, 57.74
2.70, 38.67, 1329.34, 97.31
0.825, 1075, 790.99, 57.90
2.72, 37.63, 1330.11, 97.37
0.826, 1080, 792.06, 57.98
2.74, 36.63, 1330.85, 97.42
0.828, 1081, 794.23, 58.14
2.76, 35.46, 1331.57, 97.47
0.830, 1063, 796.37, 58.30
2.78, 34.68, 1332.27, 97.52
0.832, 1051, 798.48, 58.45
2.80, 33.85, 1332.96, 97.57
0.834, 1041, 800.58, 58.60
2.82, 32.97, 1333.63, 97.62
0.836, 1052, 802.67, 58.76
2.84, 32.09, 1334.28, 97.67
0.838, 1044, 804.77, 58.91
2.86, 31.19, 1334.91, 97.72
0.840, 1040, 806.85, 59.06
2.88, 30.32, 1335.52, 97.76
0.842, 1036, 808.93, 59.21
2.90, 29.69, 1336.12, 97.81
0.844, 1024, 810.99, 59.37
2.92, 28.90, 1336.71, 97.85
0.846, 1028, 813.04, 59.52
2.94, 28.17, 1337.28, 97.89
0.848, 1023, 815.09, 59.67
2.96, 27.50, 1337.84, 97.93
0.850, 966.0, 817.08, 59.81
2.98, 26.82, 1338.38, 97.97
0.852, 996.1, 819.04, 59.95
3.00, 26.12, 1338.91, 98.01
0.854, 878.0, 820.92, 60.09
3.02, 25.47, 1339.43, 98.05
0.856, 975.5, 822.77, 60.23
3.04, 24.65, 1339.93, 98.08
0.858, 1005, 824.75, 60.37
3.06, 24.22, 1340.42, 98.12
0.860, 996.9, 826.75, 60.52
3.08, 23.64, 1340.89, 98.15
0.862, 994.9, 828.75, 60.67
3.10, 23.06, 1341.36, 98.19
0.864, 999.3, 830.74, 60.81
3.12, 22.46, 1341.82, 98.22
0.866, 886.2, 832.63, 60.95
3.14, 21.98, 1342.26, 98.25
0.868, 939.5, 834.45, 61.08
3.16, 21.44, 1342.70, 98.29
0.870, 974.7, 836.37, 61.22
3.18, 20.96, 1343.12, 98.32
0.872, 983.3, 838.32, 61.37
3.20, 20.48, 1343.53, 98.35
0.874, 971.3, 840.28, 61.51
3.22, 20.00, 1343.94, 98.38
0.876, 964.0, 842.21, 61.65
3.24, 19.51, 1344.33, 98.41
0.878, 974.9, 844.15, 61.79
3.26, 19.07, 1344.72, 98.43
0.880, 955.4, 846.08, 61.93
3.28, 18.58, 1345.10, 98.46
0.882, 951.1, 847.99, 62.07
3.30, 18.02, 1345.46, 98.49
0.884, 957.9, 849.90, 62.21
3.32, 17.68, 1345.82, 98.52
0.886, 938.3, 851.79, 62.35
3.34, 17.37, 1346.17, 98.54
0.888, 944.3, 853.68, 62.49
3.36, 16.97, 1346.51, 98.57
0.890, 953.0, 855.57, 62.63
3.38, 16.59, 1346.85, 98.59
0.892, 939.4, 857.47, 62.77
3.40, 16.15, 1347.18, 98.61
0.894, 933.2, 859.34, 62.90
3.42, 15.84, 1347.50, 98.64
0.896, 938.7, 861.21, 63.04
3.44, 15.54, 1347.81, 98.66
0.898, 933.9, 863.08, 63.18
3.46, 15.20, 1348.12, 98.68
0.900, 915.8, 864.93, 63.31
3.48, 14.86, 1348.42, 98.71
0.902, 891.6, 866.74, 63.45
3.50, 14.56, 1348.71, 98.73
0.904, 928.5, 868.56, 63.58
3.52, 14.25, 1349.00, 98.75
0.906, 917.6, 870.41, 63.71
3.54, 13.93, 1349.28, 98.77
0.908, 902.5, 872.23, 63.85
3.56, 13.62, 1349.56, 98.79
0.910, 891.6, 874.02, 63.98
3.58, 13.34, 1349.83, 98.81
0.912, 896.7, 875.81, 64.11
3.60, 13.07, 1350.09, 98.83
0.914, 907.1, 877.61, 64.24
3.62, 12.81, 1350.35, 98.85
0.916, 900.4, 879.42, 64.37
3.64, 12.51, 1350.60, 98.87
0.918, 895.1, 881.22, 64.51
3.66, 12.22, 1350.85, 98.88
0.920, 890.8, 883.00, 64.64
3.68, 11.93, 1351.09, 98.90
0.922, 863.0, 884.76, 64.77
3.70, 11.62, 1351.33, 98.92
0.924, 858.5, 886.48, 64.89
3.72, 11.45, 1351.56, 98.94
